,Resumen,texto_limpio,pred_baseline
0,Self stabilization effects were experimentally observed in the first period of operation of the ATF device. This effect is reproduced by the nonlinear calculations.,self stabilization effects were experimentally observed in the first period of operation of the atf device this effect is reproduced by the nonlinear calculations,cs.NA
1,The current work on stellarators being carried out in fusion research laboratories around the world is summarized. The theoretical aspects of the stellarator research are emphasized.,the current work on stellarators being carried out in fusion research laboratories around the world is summarized the theoretical aspects of the stellarator research are emphasized,cs.CL
2,"We prove that a graph is 4-colorable if and only if it can be drawn with vertices in the integer lattice, using as edges only line segments not containing a third point of the lattice.",we prove that a graph is colorable if and only if it can be drawn with vertices in the integer lattice using as edges only line segments not containing a third point of the lattice,cs.DS
3,"Trapped electron modes in stellarators can be more unstable than those in tokamaks. They could be easier to detect in a stellarator and may be responsible for anomalous losses in the low collisionality regime. 5 refs., 1 fig.",trapped electron modes in stellarators can be more unstable than those in tokamaks they could be easier to detect in a stellarator and may be responsible for anomalous losses in the low collisionality regime refs fig,cs.LG
4,"This paper contains viewgraphs on the existence of currents in ATF Torsatron. Current sources like bootstrap, Pfirsch-Schluter, beam driven and flux conserving are investigated and suggestions on minimization are given. (LSP)",this paper contains viewgraphs on the existence of currents in atf torsatron current sources like bootstrap pfirschschluter beam driven and flux conserving are investigated and suggestions on minimization are given lsp,cs.NA
5,"In this paper, the performance of two classical algorithms (simulated annealing and a discrete artificial bee colony) are compared on the redistricting problem, using a real example in Mexico and highlighting the superiority of the latter.",in this paper the performance of two classical algorithms simulated annealing and a discrete artificial bee colony are compared on the redistricting problem using a real example in mexico and highlighting the superiority of the latter,cs.AI
6,"In this work we have estimated the mass of NGC 5278 by fitting its rotation curve with a disk-halo component. We test three different types of halo (pseudoisothermal, Hernquist and Navarro Frenk White) and we obtain that the rotation curve was well fitted in all cases.",in this work we have estimated the mass of ngc by fitting its rotation curve with a diskhalo component we test three different types of halo pseudoisothermal hernquist and navarro frenk white and we obtain that the rotation curve was well fitted in all cases,cs.CV
7,"The smoothness of functions f in the space Lp(R) with 1<p<∞ is studied through the local convergence of the continuous wavelet transform of f. Additionally, we study the smoothness of functions in Lp(R) by means of the local convergence of the semi-discrete wavelet transform.",the smoothness of functions f in the space lpr with p is studied through the local convergence of the continuous wavelet transform of f additionally we study the smoothness of functions in lpr by means of the local convergence of the semidiscrete wavelet transform,cs.NA
8,"In this work, we employ a TREE-Code to study the collision of two spiral galaxies when they approach each other in a parabolic orbit. During a collision, we follow the evolution of the angular momentum (AM) of the different components of the galaxies, ie, disk, bulge and halo.",in this work we employ a treecode to study the collision of two spiral galaxies when they approach each other in a parabolic orbit during a collision we follow the evolution of the angular momentum am of the different components of the galaxies ie disk bulge and halo,cs.NA
9,"The smoothness of functions f in the space Lp (R) with 1< p<∞ is studied through the local convergence of the continuous wavelet transform of f. Additionally, we study the smoothness of functions in Lp (R) by means of the local convergence of the semi-discrete wavelet transform.",the smoothness of functions f in the space lp r with p is studied through the local convergence of the continuous wavelet transform of f additionally we study the smoothness of functions in lp r by means of the local convergence of the semidiscrete wavelet transform,cs.NA
